City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Siniscola,IT,2021-10-06 14:11:50,40.5719,9.6922,72.95,43,95,18.7
210,Hasaki,JP,2021-10-06 14:11:50,35.7333,140.8333,68.4,76,100,15.43
211,Berlevag,NO,2021-10-06 14:11:50,70.8578,29.0864,44.6,78,43,19.08
212,Tuatapere,NZ,2021-10-06 14:11:51,-46.1333,167.6833,52.83,96,29,4.18
213,Roald,NO,2021-10-06 14:11:51,62.5833,6.1333,62.17,82,75,3.44
214,Santo Augusto,BR,2021-10-06 14:11:51,-27.8508,-53.7772,67.48,91,100,5.01
215,Altamira,BR,2021-10-06 14:11:52,-3.2033,-52.2064,94.46,40,10,4.21
216,Tabas,IR,2021-10-06 14:11:52,33.5959,56.9244,86.61,12,0,5.77
217,Abu Kamal,SY,2021-10-06 14:11:52,34.4506,40.9171,83.57,19,0,8.99
218,Mount Isa,AU,2021-10-06 14:11:53,-20.7333,139.5,71.37,26,5,2.3
219,Camopi,GF,2021-10-06 14:11:53,3.1655,-52.3158,91.2,48,95,4.36
220,Hamilton,US,2021-10-06 14:11:53,39.1834,-84.5333,71.37,88,75,1.01
221,Praia Da Vitoria,PT,2021-10-06 14:11:53,38.7333,-27.0667,75.45,88,75,19.82
222,Klyuchi,RU,2021-10-06 14:11:54,52.2667,79.1667,36.05,98,100,7.76
223,Bandarbeyla,SO,2021-10-06 14:11:54,9.4942,50.8122,80.64,78,1,19.08
224,Denpasar,ID,2021-10-06 14:11:54,-8.65,115.2167,78.46,78,40,3.44
225,Skibbereen,IE,2021-10-06 14:11:54,51.55,-9.2667,60.6,94,100,13.56
226,Cairns,AU,2021-10-06 14:08:39,-16.9167,145.7667,75.15,89,75,3.44
227,Cap Malheureux,MU,2021-10-06 14:11:55,-19.9842,57.6142,74.46,73,19,4.0
228,Oktyabrskiy,RU,2021-10-06 14:11:55,54.4815,53.471,41.5,68,69,5.68
229,Grong,NO,2021-10-06 14:11:55,64.4654,12.3149,49.28,93,100,3.67
230,Faanui,PF,2021-10-06 14:11:56,-16.4833,-151.75,78.76,65,8,12.26
231,Craig,US,2021-10-06 14:09:53,40.5153,-107.5464,48.54,76,90,0.0
232,Meulaboh,ID,2021-10-06 14:11:56,4.1363,96.1285,78.31,87,100,5.28
233,Wilmington,US,2021-10-06 14:10:04,34.2257,-77.9447,79.92,83,1,9.22
234,Port Macquarie,AU,2021-10-06 14:11:56,-31.4333,152.9167,50.9,79,0,8.19
235,Svetlyy,RU,2021-10-06 14:11:57,54.675,20.1347,59.05,61,100,13.42
236,Vardo,NO,2021-10-06 14:11:57,70.3705,31.1107,50.2,76,0,5.75
237,Palauig,PH,2021-10-06 14:11:57,15.435,119.9045,77.65,90,100,12.08
238,San Ramon,US,2021-10-06 14:11:57,37.7799,-121.978,59.43,88,1,4.0
239,Tartagal,AR,2021-10-06 14:11:58,-22.5164,-63.8013,78.51,41,100,5.99
240,Gamba,GA,2021-10-06 14:11:58,-2.65,10.0,80.33,68,45,13.31
241,Plettenberg Bay,ZA,2021-10-06 14:11:58,-34.0527,23.3716,65.68,73,7,12.17
242,Bilibino,RU,2021-10-06 14:11:59,68.0546,166.4372,1.08,99,98,1.61
243,Vysokogornyy,RU,2021-10-06 14:11:59,50.1167,139.15,29.7,93,10,2.95
244,Mount Gambier,AU,2021-10-06 14:11:59,-37.8333,140.7667,46.27,74,33,10.33
245,Udachnyy,RU,2021-10-06 14:11:59,66.4167,112.4,27.68,86,90,17.45
246,Mayo,US,2021-10-06 14:12:00,38.8876,-76.5119,69.78,93,90,8.01
247,Taoudenni,ML,2021-10-06 14:12:00,22.6783,-3.9836,108.19,5,7,10.8
248,Bambous Virieux,MU,2021-10-06 14:12:00,-20.3428,57.7575,74.21,88,75,8.05
249,Avera,US,2021-10-06 14:12:01,33.194,-82.5271,75.07,93,84,7.54
250,Itarema,BR,2021-10-06 14:12:01,-2.9248,-39.9167,89.69,52,20,16.96
251,Saldanha,ZA,2021-10-06 14:12:01,-33.0117,17.9442,68.13,55,12,12.91
252,Saint George,US,2021-10-06 14:11:16,37.1041,-113.5841,61.54,76,90,3.0
253,Potosi,BO,2021-10-06 14:12:02,-19.5836,-65.7531,54.64,27,64,3.2
254,Aljezur,PT,2021-10-06 14:12:02,37.3191,-8.8033,81.12,44,68,5.64
255,Hithadhoo,MV,2021-10-06 14:12:02,-0.6,73.0833,83.8,74,93,13.8
256,Vestmannaeyjar,IS,2021-10-06 14:12:03,63.4427,-20.2734,43.79,75,20,31.07
